Attribute_Name,ObjectID,NumOID,ImportID,ContainerID,Num_ContainerID,Mandatory,DataType_Kind,Value_Type,Formula,ScopeEntityID,Num_ScopeEntityID,Domain_ID,Num_Domain_ID,Logical_Type_ID,Num_Logical_Type_ID,Distinct_Type_ID,Num_Distinct_Type_ID,Structured_Type_ID,Num_Structured_Type_ID,Collection_Type_ID,Num_Collection_Type_ID,Check_Constraint_Name,Default_Value,Use_Domain_Constraint,Domain_Name,Logical_Type_Name,Structured_Type_Name,Distinct_Type_Name,Collection_Type_Name,Synonyms,Preferred_Abbreviation,Relation_ID,Num_Relation_ID,Entity_Name,PK_Flag,FK_Flag,Relation_Name,Sequence,T_Size,T_Precision,T_Scale,Data_Source
"Id",CCFE91FC-CA8C-656B-9418-3A67A0B27FB1,115,,E5D4D3B7-8D59-7218-A3F7-8CAFB6EC4E3E,84,Y,Logical Type,,,,,DOM3000004,1,LOGDT019,35,,,,,,,,,N,,NUMERIC,,,,,,7B9C2B4B-E58D-FBFC-BAB4-DA6160189A79,169,"PRESTAMO",,F,"Pagar, soliditar",10,,,,,
"Id",49A577B1-C61B-E224-320D-F5A127D66346,116,,0EBE4096-1645-3DDD-4DED-092E9704207C,74,Y,Logical Type,,,,,DOM3000004,1,LOGDT019,35,,,,,,,,,N,,NUMERIC,,,,,,90808ADE-64A6-7154-EB84-08CDABFC8C2A,170,"CDT",,F,"Solicitar",1,,,,,
"Id1",068DFC04-275E-94E7-1F65-A579E80C7A14,117,,03D26B84-3CA9-83D5-C2B1-227E9CD469DA,81,Y,Logical Type,,,,,DOM3000004,1,LOGDT019,35,,,,,,,,,N,,NUMERIC,,,,,,7B61C989-CDA8-D66B-5559-8CEB38EB47BA,160,"OPERACIÓN BANCARIA",,F,"Abrir, cerrar, consignar, retirar dinero, trasferir",6,,,,,
"Id1",0148BCC8-0A2F-3AA4-EEA0-E71330D2A5B0,118,,A95D90EB-1EC1-4B44-15E1-7DAA1CADAC24,80,Y,Logical Type,,,,,DOM3000004,1,LOGDT019,35,,,,,,,,,N,,NUMERIC,,,,,,455AA8EB-FAED-8F89-4FE9-6351FA720003,172,"OFICINA",,F,"ubicados en",5,,,,,
"Id2",537ED6F8-76D2-9B23-FDE1-87941CF301B7,119,,03D26B84-3CA9-83D5-C2B1-227E9CD469DA,81,Y,Logical Type,,,,,DOM3000004,1,LOGDT019,35,,,,,,,,,N,,NUMERIC,,,,,,90808ADE-64A6-7154-EB84-08CDABFC8C2A,170,"OPERACIÓN BANCARIA",,F,"Solicitar",11,,,,,
"Id2",0AC29B6C-6960-434D-641F-504B23B6C747,120,,A95D90EB-1EC1-4B44-15E1-7DAA1CADAC24,80,Y,Logical Type,,,,,DOM3000004,1,LOGDT019,35,,,,,,,,,N,,NUMERIC,,,,,,E212D99F-1201-F09C-3A41-E9BCAE436C6D,173,"OFICINA",,F,"ubicados env1",6,,,,,
"Interés",51317A07-05BF-C77D-A441-58F6A0CFE94F,121,,E5D4D3B7-8D59-7218-A3F7-8CAFB6EC4E3E,84,N,Logical Type,,,,,DOM3000004,1,LOGDT019,35,,,,,,,,,N,,NUMERIC,,,,,,,,"PRESTAMO",,,,9,,,,,
"Login",A46E7623-5AC3-F398-C55A-270BE429BAC0,122,,573B950C-A117-2EB0-DFCB-DFFC5991E2B0,87,Y,Logical Type,,,,,DOM3000004,1,A3A3C77D-0366-9768-FF89-1C25E56881C8,68,,,,,,,,,N,,String,,,,,,,,"USUARIO",,,,1,,,,,
"Monto",9574C17E-5C5E-D527-6F79-9612649447B5,123,,03D26B84-3CA9-83D5-C2B1-227E9CD469DA,81,Y,Logical Type,,,,,DOM3000004,1,LOGDT019,35,,,,,,,,,N,,NUMERIC,,,,,,,,"OPERACIÓN BANCARIA",,,,3,,,,,
"Nacionalidad",366FCBDF-D8C5-72DC-A89A-6153F2F2EC4A,124,,573B950C-A117-2EB0-DFCB-DFFC5991E2B0,87,N,Logical Type,,,,,DOM3000004,1,A3A3C77D-0366-9768-FF89-1C25E56881C8,68,,,,,,,,,N,,String,,,,,,,,"USUARIO",,,,6,,,,,
"Nombre",0EEB55BF-9F26-6E2F-6826-F208C171F079,125,,573B950C-A117-2EB0-DFCB-DFFC5991E2B0,87,Y,Logical Type,,,,,DOM3000004,1,A3A3C77D-0366-9768-FF89-1C25E56881C8,68,,,,,,,,,N,,String,,,,,,,,"USUARIO",,,,5,,,,,
"Nombre",13E5FFF4-E9FF-6B04-C0A4-C41DBD2F235C,126,,A95D90EB-1EC1-4B44-15E1-7DAA1CADAC24,80,Y,Logical Type,,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,,,,,"OFICINA",,,,1,,,,,
"num atencion posibles",A9561D0D-F344-84F9-8CAD-12F28492BF7E,127,,A95D90EB-1EC1-4B44-15E1-7DAA1CADAC24,80,N,Logical Type,,,,,DOM3000004,1,LOGDT019,35,,,,,,,,,N,,NUMERIC,,,,,,,,"OFICINA",,,,3,,,,,
"Saldo",D591A8A1-3D33-FFB1-668B-8FF14101ABE4,128,,D643A724-59C6-9494-C087-74F15555771A,76,N,Logical Type,,,,,DOM3000004,1,LOGDT019,35,,,,,,,,,N,,NUMERIC,,,,,,,,"CUENTA",,,,2,,,,,
"Saldo Final Entrada",81062704-873E-4ACB-FA02-D5C4496C06F0,129,,03D26B84-3CA9-83D5-C2B1-227E9CD469DA,81,Y,Logical Type,,,,,DOM3000004,1,LOGDT019,35,,,,,,,,,N,,NUMERIC,,,,,,,,"OPERACIÓN BANCARIA",,,,5,,,,,
"Saldo Final Salida",1E3B5BD3-57E3-C1FC-F80A-6E0B269F80A5,130,,03D26B84-3CA9-83D5-C2B1-227E9CD469DA,81,Y,Logical Type,,,,,DOM3000004,1,LOGDT019,35,,,,,,,,,N,,NUMERIC,,,,,,,,"OPERACIÓN BANCARIA",,,,4,,,,,
"Saldo Pendiente",28BC0A33-7501-8739-9885-38F887CD8374,131,,E5D4D3B7-8D59-7218-A3F7-8CAFB6EC4E3E,84,N,Logical Type,,,,,DOM3000004,1,LOGDT019,35,,,,,,,,,N,,NUMERIC,,,,,,,,"PRESTAMO",,,,4,,,,,
"Teléfono",176D08A2-38CB-60A4-52ED-92E2AF519DC2,132,,573B950C-A117-2EB0-DFCB-DFFC5991E2B0,87,N,Logical Type,,,,,DOM3000004,1,A3A3C77D-0366-9768-FF89-1C25E56881C8,68,,,,,,,,,N,,String,,,,,,,,"USUARIO",,,,8,,,,,
"Tipo",EA921464-4924-6D43-BA75-4F21F0261832,133,,3B90C286-EE7E-771B-3279-F7A1AECDED58,83,Y,Logical Type,,,,,DOM3000004,1,A3A3C77D-0366-9768-FF89-1C25E56881C8,68,,,,,,,,,N,,String,,,,,,,,"PORTAL WEB",P,,,1,,,,,
"Tipo",768AC162-0D4D-1728-36A5-B1F2AEF99530,134,,D643A724-59C6-9494-C087-74F15555771A,76,N,Logical Type,,,,,DOM3000004,1,A3A3C77D-0366-9768-FF89-1C25E56881C8,68,,,,,,,,,N,,String,,,,,,,,"CUENTA",,,,1,,,,,
"Tipo",1FE0037D-5CA4-CA5F-9815-7A86D3AD346E,135,,E5D4D3B7-8D59-7218-A3F7-8CAFB6EC4E3E,84,Y,Logical Type,,,,,DOM3000004,1,A3A3C77D-0366-9768-FF89-1C25E56881C8,68,,,,,,,,,N,,String,,,,,,,,"PRESTAMO",,,,2,,,,,
"Tipo",08317477-6766-7760-A4DC-878B2ABA8856,136,,C093EAB7-7674-BBE0-434F-728BDFE3BEE3,72,N,Logical Type,,,,,DOM3000004,1,A3A3C77D-0366-9768-FF89-1C25E56881C8,68,,,,,,,,,N,,String,,,,,,,,"CAJERO",,,,1,,,,,
"Tipo",AEAA0B63-F4AF-509C-7851-D7EAD4B97CE2,137,,03D26B84-3CA9-83D5-C2B1-227E9CD469DA,81,Y,Domain,,,,,DOM3000004,1,LOGDT017,2,,,,,,,,,Y,"Unknown",unknown,,,,,,,,"OPERACIÓN BANCARIA",,,,8,,,,,
"Tipo Documento",CFABF219-D291-4ED2-D968-9DC768058D0C,138,,573B950C-A117-2EB0-DFCB-DFFC5991E2B0,87,Y,Logical Type,,,,,DOM3000004,1,A3A3C77D-0366-9768-FF89-1C25E56881C8,68,,,,,,,,,N,,String,,,,,,,,"USUARIO",P,,,3,,,,,
